IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
140.238.35.85,1443,true,NRT,亚太,日本东京,100 ms,5121 kB/s
172.236.21.122,8443,true,LHR,欧洲,英国伦敦,141 ms,5117 kB/s
138.2.115.214,587,true,ICN,亚太,韩国首尔,134 ms,5117 kB/s
64.110.98.1,30000,true,KIX,亚太,大阪,113 ms,5097 kB/s
138.2.5.136,443,true,NRT,亚太,日本东京,104 ms,5085 kB/s
161.35.28.43,443,true,FRA,欧洲,德国法兰克福,147 ms,5070 kB/s
193.122.96.80,56789,true,ICN,亚太,韩国首尔,138 ms,5069 kB/s
167.71.187.216,8880,true,EWR,北美洲,美国纽瓦克,69 ms,5061 kB/s
64.110.101.31,8888,true,KIX,亚太,大阪,104 ms,5054 kB/s
170.64.227.71,443,true,SYD,大洋洲,澳大利亚悉尼,151 ms,5045 kB/s
129.158.241.2,8443,true,IAD,北美洲,美国阿什伯恩,58 ms,5042 kB/s
134.122.60.51,8080,true,AMS,欧洲,荷兰阿姆斯特丹,139 ms,5039 kB/s
152.70.236.195,30001,true,ICN,亚太,韩国首尔,136 ms,5035 kB/s
132.145.114.230,12563,true,NRT,亚太,日本东京,101 ms,5020 kB/s
159.223.212.57,443,true,AMS,欧洲,荷兰阿姆斯特丹,149 ms,5010 kB/s
168.138.197.5,4499,true,NRT,亚太,日本东京,101 ms,5002 kB/s
146.56.99.105,10070,true,ICN,亚太,韩国首尔,134 ms,5002 kB/s
143.244.198.103,443,true,AMS,欧洲,荷兰阿姆斯特丹,146 ms,5000 kB/s
159.89.103.89,443,true,FRA,欧洲,德国法兰克福,142 ms,4998 kB/s
45.77.55.196,8081,true,FRA,欧洲,德国法兰克福,151 ms,4982 kB/s
46.101.150.21,2096,true,FRA,欧洲,德国法兰克福,159 ms,4970 kB/s
207.148.121.53,16444,true,SIN,亚太,新加坡,195 ms,4970 kB/s
193.122.107.234,443,true,ICN,亚太,韩国首尔,138 ms,4964 kB/s
206.189.105.167,443,true,AMS,欧洲,荷兰阿姆斯特丹,147 ms,4962 kB/s
131.186.22.50,443,true,ICN,亚太,韩国首尔,138 ms,4958 kB/s
129.154.194.191,443,true,ICN,亚太,韩国首尔,138 ms,4958 kB/s
167.172.164.250,443,true,FRA,欧洲,德国法兰克福,150 ms,4953 kB/s
146.56.188.74,443,true,ICN,亚太,韩国首尔,130 ms,4937 kB/s
64.225.77.36,443,true,AMS,欧洲,荷兰阿姆斯特丹,144 ms,4928 kB/s
146.56.101.155,52000,true,ICN,亚太,韩国首尔,243 ms,4910 kB/s
